feature,importance
yearsExperience,0.18848954749064903
jobType_JANITOR,0.17489165259717235
milesFromMetropolis,0.12973727068426888
major_NONE,0.07980423036058543
jobType_JUNIOR,0.06602446504410503
jobType_CEO,0.06236397788523871
jobType_SENIOR,0.03062858131762265
industry_EDUCATION,0.02888190843922889
industry_FINANCE,0.025823121057324826
industry_OIL,0.025550859101034926
jobType_CTO,0.02470612633071911
jobType_CFO,0.024285449169746585
degree_NONE,0.023759252061659204
degree_DOCTORAL,0.016850416280026873
industry_SERVICE,0.014574746297847224
degree_HIGH_SCHOOL,0.012996779597402175
jobType_MANAGER,0.012799519229330798
jobType_VICE_PRESIDENT,0.010683530646735715
industry_WEB,0.007621159639682601
industry_AUTO,0.0070450608147058225
degree_MASTERS,0.006764044101070993
major_ENGINEERING,0.005477486905766026
industry_HEALTH,0.0044487122794902535
degree_BACHELORS,0.004086856703243782
major_BUSINESS,0.003604018486371923
major_LITERATURE,0.0026421609583080407
major_MATH,0.0013369330459617045
major_BIOLOGY,0.0013133314952408343
major_CHEMISTRY,0.0012013181680839
major_PHYSICS,0.00082984595197204
major_COMPSCI,0.0007776378594036716
